Mon,Tue,Wed,Thu,Fri,Sat
His,Geo,Lit,Lan,Free,Free
CST,Physics,Math,Lan,Lan,Lit
LS,Math,,Lit,Geo,Lan
LS,History,PE,Phy,Math,His
Mat,Free,CST,Free,Phy,Math
Phy,CST,His,CST,His,Geo
